release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,profit,roi,movie_id,primary_title,genres
"Mar 31, 2010",The Last Song,20000000,62950384,92678948,2010,Mar,72678948,363.39,tt1294226,The Last Song,"Drama,Music,Romance"
"Apr 2, 2010",Why Did I Get Married Too?,20000000,60095852,60831067,2010,Apr,40831067,204.16,tt1391137,Why Did I Get Married Too?,"Comedy,Drama,Romance"
"Oct 18, 2013",12 Years a Slave,20000000,56671993,181025343,2013,Oct,161025343,805.13,tt2024544,12 Years a Slave,"Biography,Drama,History"
"Jun 3, 2016",Me Before You,20000000,56245075,208265198,2016,Jun,188265198,941.33,tt2674426,Me Before You,"Drama,Romance"
"Feb 8, 2019",What Men Want,20000000,54611903,69911903,2019,Feb,49911903,249.56,tt7634968,What Men Want,"Comedy,Fantasy,Romance"
"Sep 14, 2018",A Simple Favor,20000000,53548586,97628717,2018,Sep,77628717,388.14,tt7040874,A Simple Favor,"Comedy,Crime,Drama"
"Jan 9, 2015",Selma,20000000,52076908,66776576,2015,Jan,46776576,233.88,tt1020072,Selma,"Biography,Drama,History"
"Nov 6, 2015",Spotlight,20000000,45055776,92088460,2015,Nov,72088460,360.44,tt1895587,Spotlight,"Crime,Drama"
"Jul 24, 2009",Orphan,20000000,41596251,78769428,2009,Jul,58769428,293.85,tt4746516,Orphan,Drama
"Nov 17, 2017",The Star,20000000,40847995,62758010,2017,Nov,42758010,213.79,tt4587656,The Star,"Adventure,Animation,Comedy"
"Jul 27, 2016",Nerve,20000000,38583626,70652284,2016,Jul,50652284,253.26,tt1772317,Nerve,"Comedy,Drama"
"Aug 18, 2010",Vampires Suck,20000000,36661504,81424988,2010,Aug,61424988,307.12,tt1666186,Vampires Suck,Comedy
"Sep 1, 2010",The American,20000000,35606376,67950723,2010,Sep,47950723,239.75,tt1440728,The American,"Crime,Drama,Thriller"
"Dec 1, 2017",The Shape of Water,19500000,63859435,195790794,2017,Dec,176290794,904.06,tt5580390,The Shape of Water,"Adventure,Drama,Fantasy"
"Jun 24, 2011",Bad Teacher,19000000,100292856,215448997,2011,Jun,196448997,1033.94,tt1284575,Bad Teacher,"Comedy,Romance"
"Aug 12, 2016",Sausage Party,19000000,97670358,141344255,2016,Aug,122344255,643.92,tt1700841,Sausage Party,"Adventure,Animation,Comedy"
"Nov 8, 2013",The Book Thief,19000000,21488481,76086711,2013,Nov,57086711,300.46,tt0816442,The Book Thief,"Drama,War"
"May 9, 2014",Neighbors,18000000,150086800,270944428,2014,May,252944428,1405.25,tt2004420,Neighbors,Comedy
"Mar 25, 2016",My Big Fat Greek Wedding 2,18000000,59689605,92096558,2016,Mar,74096558,411.65,tt3760922,My Big Fat Greek Wedding 2,"Comedy,Romance"
"Sep 11, 2015",The Perfect Guy,18000000,57027435,60278166,2015,Sep,42278166,234.88,tt3862750,The Perfect Guy,"Crime,Drama,Horror"
"Mar 25, 2011",Diary of a Wimpy Kid: Rodrick Rules,18000000,52698535,73695194,2011,Mar,55695194,309.42,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,"Comedy,Family"
"Oct 17, 2014",Birdman or (The Unexpected Virtue of Ignorance),18000000,42340598,103215094,2014,Oct,85215094,473.42,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama"
"Jul 26, 2013",Blue Jasmine,18000000,33404871,102912961,2013,Jul,84912961,471.74,tt2334873,Blue Jasmine,Drama
"Dec 5, 2003",Honey,18000000,30272254,62646763,2003,Dec,44646763,248.04,tt1571724,Honey,Drama
"Sep 25, 2009",Fame,18000000,22455510,80227619,2009,Sep,62227619,345.71,tt5861350,Fame,Documentary
"Nov 5, 2010",127 Hours,18000000,18335230,60217171,2010,Nov,42217171,234.54,tt1542344,127 Hours,"Adventure,Biography,Drama"
"Jan 13, 2006",Hoodwinked,17500000,51386611,109843390,2006,Jan,92343390,527.68,tt2196200,Hoodwinked,Documentary
"Apr 6, 2018",A Quiet Place,17000000,188024361,334522294,2018,Apr,317522294,1867.78,tt6347308,A Quiet Place,Documentary
"Nov 15, 2013",The Best Man Holiday,17000000,70525195,72835710,2013,Nov,55835710,328.45,tt2083355,The Best Man Holiday,"Comedy,Drama"
"Sep 28, 2012",Pitch Perfect,17000000,65001093,116044347,2012,Sep,99044347,582.61,tt1981677,Pitch Perfect,"Comedy,Music,Romance"
"Apr 5, 2013",Evil Dead,17000000,54239856,97778356,2013,Apr,80778356,475.17,tt1288558,Evil Dead,"Fantasy,Horror,Thriller"
"Aug 18, 2006",The Illusionist,16500000,39868642,83792062,2006,Aug,67292062,407.83,tt0775489,The Illusionist,"Animation,Drama"
"May 19, 2000",Road Trip,16000000,68525609,119739110,2000,May,103739110,648.37,tt3233610,Road Trip,Horror
"May 25, 2012",Moonrise Kingdom,16000000,45512466,68848446,2012,May,52848446,330.3,tt1748122,Moonrise Kingdom,"Adventure,Comedy,Drama"
"Nov 25, 2011",The Artist,16000000,44667095,128256712,2011,Nov,112256712,701.6,tt1655442,The Artist,"Comedy,Drama,Romance"
"Jan 9, 2009",The Unborn,16000000,42670410,78208812,2009,Jan,62208812,388.81,tt10423074,The Unborn,Horror
"Feb 4, 2011",The Roommate,16000000,37300107,52545707,2011,Feb,36545707,228.41,tt1265990,The Roommate,"Drama,Thriller"
"Mar 12, 2010",Remember Me,16000000,19068240,56506120,2010,Mar,40506120,253.16,tt1403981,Remember Me,"Drama,Romance"
"Dec 21, 2018",Second Act,15700000,39282227,63288854,2018,Dec,47588854,303.11,tt2126357,Second Act,"Comedy,Drama,Romance"
"Aug 11, 2017",Annabelle: Creation,15000000,102092201,305384865,2017,Aug,290384865,1935.9,tt5140878,Annabelle: Creation,"Horror,Mystery,Thriller"
"Nov 28, 2014",The Imitation Game,15000000,91125143,227740463,2014,Nov,212740463,1418.27,tt2084970,The Imitation Game,"Biography,Drama,Thriller"
"Jan 18, 2013",Mama,15000000,71628180,148095566,2013,Jan,133095566,887.3,tt1805319,Mama,Drama
"Mar 19, 2010",Diary of a Wimpy Kid,15000000,64003625,76954311,2010,Mar,61954311,413.03,tt1196141,Diary of a Wimpy Kid,"Comedy,Drama,Family"
"Aug 31, 2007",Halloween,15000000,58269151,77514401,2007,Aug,62514401,416.76,tt1502407,Halloween,"Horror,Thriller"
"Sep 30, 2006",The Queen,15000000,56441711,128885873,2006,Sep,113885873,759.24,tt2548096,The Queen,"Action,Drama,War"
"Feb 3, 2012",The Woman in Black,15000000,54333290,128955898,2012,Feb,113955898,759.71,tt1596365,The Woman in Black,"Drama,Fantasy,Horror"
"Aug 10, 2018",BlacKkKlansman,15000000,49275340,93017335,2018,Aug,78017335,520.12,tt7349662,BlacKkKlansman,"Biography,Crime,Drama"
"Feb 22, 2013",Snitch,15000000,42930462,57907734,2013,Feb,42907734,286.05,tt0882977,Snitch,"Action,Drama,Thriller"
"Dec 4, 2015",Krampus,15000000,42725475,61788393,2015,Dec,46788393,311.92,tt3850590,Krampus,"Comedy,Fantasy,Horror"
"Sep 21, 2012",End of Watch,15000000,41003371,57586606,2012,Sep,42586606,283.91,tt1855199,End of Watch,"Action,Crime,Drama"
"Dec 3, 2014",Wild,15000000,37880356,52460543,2014,Dec,37460543,249.74,tt2305051,Wild,"Adventure,Biography,Drama"
