release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,profit,roi,movie_id,primary_title,genres
"May 25, 2012",Chernobyl Diaries,1000000,18119640,42411721,2012,May,41411721,4141.17,tt1991245,Chernobyl Diaries,"Horror,Mystery,Thriller"
"Dec 29, 2010",Blue Valentine,1000000,9737892,16566240,2010,Dec,15566240,1556.62,tt1120985,Blue Valentine,"Drama,Romance"
"Jul 20, 2018",Unfriended: Dark Web,1000000,8866745,16434588,2018,Jul,15434588,1543.46,tt4761916,Unfriended: Dark Web,"Crime,Horror,Mystery"
"Sep 25, 2015",The Green Inferno,1000000,7192291,12931420,2015,Sep,11931420,1193.14,tt2403021,The Green Inferno,"Adventure,Horror"
"Feb 3, 2017",I Am Not Your Negro,1000000,7123919,9617402,2017,Feb,8617402,861.74,tt5804038,I Am Not Your Negro,Documentary
"Oct 19, 2012",The Sessions,1000000,6002451,11495204,2012,Oct,10495204,1049.52,tt1866249,The Sessions,"Biography,Comedy,Drama"
"Apr 4, 2008",Shine a Light,1000000,5505267,16173879,2008,Apr,15173879,1517.39,tt6448350,Shine a Light,
"Mar 23, 2012",October Baby,1000000,5355847,5391992,2012,Mar,4391992,439.2,tt1720182,October Baby,Drama
"Sep 12, 2014",The Skeleton Twins,1000000,5284309,5797192,2014,Sep,4797192,479.72,tt1571249,The Skeleton Twins,"Comedy,Drama,Romance"
"Jun 6, 2014",Obvious Child,1000000,3122616,3324070,2014,Jun,2324070,232.41,tt2910274,Obvious Child,"Comedy,Drama,Romance"
"Oct 21, 2011",Martha Marcy May Marlene,1000000,2981038,5438911,2011,Oct,4438911,443.89,tt1441326,Martha Marcy May Marlene,"Drama,Mystery,Thriller"
"May 12, 2017",Lowriders,916000,6179955,6188421,2017,May,5272421,575.59,tt1366338,Lowriders,"Adventure,Crime,Drama"
"Jul 12, 2013",Fruitvale Station,900000,16098998,17549645,2013,Jul,16649645,1849.96,tt2334649,Fruitvale Station,"Biography,Drama,Romance"
"Apr 1, 2016",Meet the Blacks,900000,9097072,9097072,2016,Apr,8197072,910.79,tt4191580,Meet the Blacks,"Comedy,Horror"
"Sep 9, 2011",Kevin Hart: Laugh at My Pain,750000,7706436,7712436,2011,Sep,6962436,928.32,tt1999192,Kevin Hart: Laugh at My Pain,"Comedy,Documentary"
"Jun 8, 2012",Safety Not Guaranteed,750000,4010957,4422318,2012,Jun,3672318,489.64,tt1862079,Safety Not Guaranteed,"Comedy,Drama,Romance"
"Oct 29, 2010",Monsters,500000,237301,5639730,2010,Oct,5139730,1027.95,tt1470827,Monsters,"Drama,Sci-Fi,Thriller"
"Apr 23, 2009",Home,500000,15433,44793168,2009,Apr,44293168,8858.63,tt2075392,Home,Drama
"Mar 31, 2006",Brick,450000,2075743,4243996,2006,Mar,3793996,843.11,tt10227710,Brick,"Drama,Family,Romance"
"Oct 31, 2014",All You Need Is Love,300000,0,3565259,2014,Oct,3265259,1088.42,tt2704210,All You Need Is Love,Documentary
"Aug 17, 2012",Compliance,270000,319285,830700,2012,Aug,560700,207.67,tt1971352,Compliance,"Biography,Crime,Drama"
"Apr 28, 2017",Sleight,250000,3930990,3934450,2017,Apr,3684450,1473.78,tt4573516,Sleight,"Action,Drama,Sci-Fi"
"Oct 28, 2011",Like Crazy,250000,3395391,3728400,2011,Oct,3478400,1391.36,tt1758692,Like Crazy,"Drama,Romance"
"Jul 20, 2012",Burn,225000,1109276,1109276,2012,Jul,884276,393.01,tt1781784,Burn,Documentary
"Feb 25, 2011",The Grace Card,200000,2430735,2430735,2011,Feb,2230735,1115.37,tt1544600,The Grace Card,Drama
"Jun 19, 2015",The Overnight,200000,1109808,1165996,2015,Jun,965996,483.0,tt0326592,The Overnight,
"Sep 23, 2011",Weekend,190000,484592,1577585,2011,Sep,1387585,730.31,tt1714210,Weekend,"Drama,Romance"
"Jul 22, 2011",Another Earth,175000,1321194,2102779,2011,Jul,1927779,1101.59,tt1549572,Another Earth,"Drama,Romance,Sci-Fi"
"Apr 27, 2012",Sound of My Voice,135000,408015,429448,2012,Apr,294448,218.11,tt1748207,Sound of My Voice,"Drama,Mystery,Sci-Fi"
"Jun 15, 2012",Your Sister's Sister,120000,1597486,3090593,2012,Jun,2970593,2475.49,tt1742336,Your Sister's Sister,"Comedy,Drama"
"Jul 10, 2015",The Gallows,100000,22764410,41656474,2015,Jul,41556474,41556.47,tt2309260,The Gallows,"Horror,Mystery,Thriller"
"Jul 7, 2017",A Ghost Story,100000,1594798,2769782,2017,Jul,2669782,2669.78,tt6265828,A Ghost Story,"Drama,Fantasy,Romance"
"Nov 12, 2010",Tiny Furniture,50000,391674,424149,2010,Nov,374149,748.3,tt1570989,Tiny Furniture,"Comedy,Drama,Romance"
"Feb 22, 2008",The Signal,50000,251150,406299,2008,Feb,356299,712.6,tt2910814,The Signal,"Drama,Mystery,Sci-Fi"
"Mar 18, 2016",Krisha,30000,144822,144822,2016,Mar,114822,382.74,tt4266638,Krisha,Drama
"Jan 14, 2000",The Terrorist,25000,195043,195043,2000,Jan,170043,680.17,tt9248762,The Terrorist,Thriller
"Sep 1, 2015",Exeter,25000,0,489792,2015,Sep,464792,1859.17,tt1945044,Exeter,"Horror,Mystery,Thriller"
"Apr 28, 2006",Clean,10000,138711,138711,2006,Apr,128711,1287.11,tt6619196,Clean,"Comedy,Drama,Horror"
"Jul 6, 2001",Cure,10000,94596,94596,2001,Jul,84596,845.96,tt1872026,Cure,Drama
